formula,mass,charge,description,chemical_class,alucone_relevance
Al+,26.980990000000002,positive,Molecular ion,Aluminum,High
[HAl-H]+,26.980990000000002,positive,Hydrogen loss,Aluminum,High
Al-,26.982088,negative,Molecular anion,Aluminum,High
[HAl-H]-,26.982088,negative,Deprotonated,Aluminum,High
[Al+H]+,27.988815000000002,positive,Protonated,Aluminum,High
HAl+,27.988815000000002,positive,Molecular ion,Aluminum,High
[H2Al-H]+,27.988815000000002,positive,Hydrogen loss,Aluminum,High
HAl-,27.989913,negative,Molecular anion,Aluminum,High
[H2Al-H]-,27.989913,negative,Deprotonated,Aluminum,High
[HAl+H]+,28.996640000000003,positive,Protonated,Aluminum,High
H2Al+,28.996640000000003,positive,Molecular ion,Aluminum,High
[H3Al-H]+,28.996640000000003,positive,Hydrogen loss,Aluminum,High
H2Al-,28.997738000000002,negative,Molecular anion,Aluminum,High
[H3Al-H]-,28.997738000000002,negative,Deprotonated,Aluminum,High
[H4Al-H]+,30.004465,positive,Hydrogen loss,Aluminum,High
[H2Al+H]+,30.004465000000003,positive,Protonated,Aluminum,High
H3Al+,30.004465000000003,positive,Molecular ion,Aluminum,High
[H4Al-H]-,30.005563,negative,Deprotonated,Aluminum,High
H3Al-,30.005563000000002,negative,Molecular anion,Aluminum,High
H4Al+,31.01229,positive,Molecular ion,Aluminum,High
[H3Al+H]+,31.012290000000004,positive,Protonated,Aluminum,High
[H5Al-H]+,31.012290000000004,positive,Hydrogen loss,Aluminum,High
H4Al-,31.013388,negative,Molecular anion,Aluminum,High
[H5Al-H]-,31.013388000000003,negative,Deprotonated,Aluminum,High
[H4Al+H]+,32.020115,positive,Protonated,Aluminum,High
H5Al+,32.020115000000004,positive,Molecular ion,Aluminum,High
[H6Al-H]+,32.020115000000004,positive,Hydrogen loss,Aluminum,High
H5Al-,32.021213,negative,Molecular anion,Aluminum,High
[H6Al-H]-,32.021213,negative,Deprotonated,Aluminum,High
[H5Al+H]+,33.02794,positive,Protonated,Aluminum,High
H6Al+,33.02794,positive,Molecular ion,Aluminum,High
[H7Al-H]+,33.02794000000001,positive,Hydrogen loss,Aluminum,High
H6Al-,33.029038,negative,Molecular anion,Aluminum,High
[H7Al-H]-,33.02903800000001,negative,Deprotonated,Aluminum,High
[H6Al+H]+,34.035765,positive,Protonated,Aluminum,High
H7Al+,34.035765000000005,positive,Molecular ion,Aluminum,High
[H8Al-H]+,34.035765000000005,positive,Hydrogen loss,Aluminum,High
H7Al-,34.036863000000004,negative,Molecular anion,Aluminum,High
[H8Al-H]-,34.036863000000004,negative,Deprotonated,Aluminum,High
[H7Al+H]+,35.04359,positive,Protonated,Aluminum,High
H8Al+,35.04359,positive,Molecular ion,Aluminum,High
[H9Al-H]+,35.04359,positive,Hydrogen loss,Aluminum,High
H8Al-,35.044688,negative,Molecular anion,Aluminum,High
[H9Al-H]-,35.044688,negative,Deprotonated,Aluminum,High
[H8Al+H]+,36.051415,positive,Protonated,Aluminum,High
H9Al+,36.051415,positive,Molecular ion,Aluminum,High
[H10Al-H]+,36.051415000000006,positive,Hydrogen loss,Aluminum,High
H9Al-,36.052513,negative,Molecular anion,Aluminum,High
[H10Al-H]-,36.052513000000005,negative,Deprotonated,Aluminum,High
[H9Al+H]+,37.059239999999996,positive,Protonated,Aluminum,High
H10Al+,37.05924,positive,Molecular ion,Aluminum,High
[H11Al-H]+,37.05924,positive,Hydrogen loss,Aluminum,High
H10Al-,37.060338,negative,Molecular anion,Aluminum,High
