Mass (u)	P1_SQ1	P1_SQ2	P1_SQ3	P1_SQ4	P1_SQ5	P2_SQ1	P2_SQ2	P2_SQ3	P2_SQ4	P2_SQ5	P3_SQ1	P3_SQ2	P3_SQ3	P3_SQ4	P3_SQ5	P1_SQ0	P2_SQ0	P3_SQ0
1.0084	1.37E-01	2.20E-01	2.02E-01	1.76E-01	1.64E-01	1.31E-01	2.17E-01	1.96E-01	1.72E-01	1.44E-01	1.37E-01	2.27E-01	2.10E-01	1.82E-01	1.67E-01	8.31E-02	7.48E-02	7.62E-02
12.00072	2.27E-02	1.04E-02	9.82E-03	9.17E-03	8.97E-03	2.41E-02	9.66E-03	9.54E-03	8.89E-03	7.66E-03	2.28E-02	1.02E-02	9.76E-03	9.13E-03	9.13E-03	6.06E-03	5.01E-03	5.16E-03
13.0087	2.92E-02	2.77E-02	2.62E-02	2.31E-02	2.20E-02	2.96E-02	2.67E-02	2.50E-02	2.20E-02	1.89E-02	2.95E-02	2.83E-02	2.62E-02	2.34E-02	2.22E-02	1.20E-02	1.06E-02	1.08E-02
14.01628	2.03E-03	4.43E-03	4.05E-03	3.34E-03	3.00E-03	1.82E-03	4.46E-03	3.84E-03	3.24E-03	2.62E-03	2.00E-03	4.72E-03	4.22E-03	3.49E-03	3.08E-03	1.61E-03	1.53E-03	1.54E-03
15.99589	1.99E-01	9.49E-02	7.41E-02	5.97E-02	5.24E-02	2.06E-01	7.69E-02	7.13E-02	5.78E-02	4.72E-02	2.01E-01	8.00E-02	7.25E-02	6.04E-02	5.38E-02	3.84E-02	3.14E-02	3.28E-02
17.00371	8.32E-02	8.21E-02	6.76E-02	5.40E-02	4.73E-02	8.03E-02	7.33E-02	6.63E-02	5.33E-02	4.25E-02	8.27E-02	7.58E-02	6.86E-02	5.59E-02	4.87E-02	2.80E-02	2.40E-02	2.45E-02
24.00013	5.53E-02	1.54E-02	1.58E-02	1.63E-02	1.63E-02	5.95E-02	1.44E-02	1.49E-02	1.57E-02	1.39E-02	5.67E-02	1.49E-02	1.52E-02	1.60E-02	1.67E-02	1.69E-02	1.20E-02	1.25E-02
25.00863	9.29E-02	5.60E-02	5.87E-02	6.39E-02	6.51E-02	9.46E-02	5.48E-02	5.64E-02	6.12E-02	5.52E-02	9.51E-02	5.68E-02	5.84E-02	6.38E-02	6.64E-02	5.06E-02	4.51E-02	4.64E-02
27.0248	5.10E-05	1.27E-03	1.38E-03	1.42E-03	1.50E-03	4.78E-05	1.38E-03	1.32E-03	1.44E-03	1.33E-03	5.20E-05	1.32E-03	1.41E-03	1.50E-03	1.52E-03	5.75E-04	5.65E-04	5.72E-04
29.00376	2.81E-05	2.15E-04	2.59E-04	3.01E-04	3.07E-04	2.67E-05	2.09E-04	2.59E-04	2.93E-04	2.81E-04	3.97E-05	2.27E-04	2.56E-04	3.23E-04	3.13E-04	1.18E-04	1.22E-04	1.17E-04
31.99029	3.15E-03	2.24E-03	1.58E-03	1.21E-03	1.03E-03	3.11E-03	1.69E-03	1.54E-03	1.16E-03	9.31E-04	3.15E-03	1.71E-03	1.58E-03	1.25E-03	1.07E-03	5.58E-04	4.70E-04	4.71E-04
32.99777	4.42E-04	6.65E-04	4.43E-04	3.23E-04	2.68E-04	3.95E-04	5.16E-04	4.59E-04	3.42E-04	2.51E-04	3.77E-04	5.25E-04	4.55E-04	3.37E-04	2.73E-04	1.53E-04	1.23E-04	1.21E-04
34.97065	9.62E-04	5.11E-02	5.17E-02	3.15E-02	2.14E-02	8.76E-04	5.88E-02	5.29E-02	3.11E-02	3.71E-02	8.53E-04	5.04E-02	4.54E-02	2.60E-02	1.68E-02	2.53E-03	2.37E-03	2.40E-03
36.00077	1.04E-02	4.14E-03	4.63E-03	5.12E-03	5.25E-03	1.06E-02	3.97E-03	4.36E-03	4.97E-03	4.43E-03	1.05E-02	4.20E-03	4.43E-03	5.04E-03	5.40E-03	4.49E-03	3.68E-03	3.84E-03
36.96753	3.03E-04	1.69E-02	1.61E-02	9.63E-03	6.53E-03	2.88E-04	1.86E-02	1.65E-02	9.50E-03	1.18E-02	2.75E-04	1.58E-02	1.41E-02	7.82E-03	5.13E-03	7.55E-04	7.08E-04	7.18E-04
37.00881	4.10E-03	3.94E-03	4.74E-03	5.22E-03	5.26E-03	3.97E-03	4.32E-03	4.55E-03	5.00E-03	4.59E-03	4.11E-03	4.30E-03	4.61E-03	5.10E-03	5.33E-03	4.97E-03	4.42E-03	4.45E-03
39.99155	3.82E-03	3.35E-03	3.69E-03	3.77E-03	3.76E-03	3.83E-03	3.32E-03	3.58E-03	3.71E-03	3.27E-03	3.93E-03	3.41E-03	3.54E-03	3.77E-03	3.81E-03	2.07E-03	1.68E-03	1.77E-03
42.00394	2.08E-03	3.47E-03	1.84E-03	1.82E-03	1.70E-03	1.67E-03	1.52E-03	1.74E-03	1.58E-03	1.65E-03	1.61E-03	1.42E-03	1.51E-03	1.52E-03	1.43E-03	4.82E-04	4.09E-04	5.51E-04
42.01252	3.50E-04	4.09E-04	9.15E-04	9.84E-04	1.03E-03	3.11E-04	9.06E-04	8.27E-04	1.03E-03	1.04E-03	3.73E-04	8.82E-04	1.01E-03	1.05E-03	1.04E-03	3.76E-04	3.79E-04	3.88E-04
42.97745	6.86E-04	7.86E-03	6.11E-03	5.01E-03	4.23E-03	7.19E-04	6.56E-03	5.96E-03	4.79E-03	3.53E-03	6.89E-04	6.90E-03	6.19E-03	5.13E-03	4.42E-03	2.64E-03	2.20E-03	2.29E-03
43.01981	1.23E-04	1.94E-03	2.60E-03	3.31E-03	3.97E-03	9.34E-05	2.13E-03	2.53E-03	3.66E-03	3.78E-03	9.91E-05	2.13E-03	2.61E-03	3.61E-03	4.08E-03	1.09E-03	1.10E-03	1.11E-03
43.98702	9.69E-05	5.35E-04	4.90E-04	4.38E-04	3.85E-04	1.05E-04	5.13E-04	3.97E-04	4.12E-04	3.31E-04	1.05E-04	5.34E-04	4.81E-04	4.37E-04	3.99E-04	1.68E-04	1.55E-04	1.58E-04
44.99941	8.86E-04	6.24E-03	8.49E-03	1.15E-02	1.33E-02	8.14E-04	6.50E-03	7.96E-03	1.18E-02	1.18E-02	8.51E-04	6.51E-03	8.16E-03	1.16E-02	1.37E-02	3.93E-03	3.89E-03	3.98E-03
48.00048	1.40E-02	3.54E-03	4.18E-03	5.18E-03	5.42E-03	1.48E-02	3.27E-03	3.97E-03	4.92E-03	4.56E-03	1.43E-02	3.31E-03	4.05E-03	4.99E-03	5.54E-03	4.08E-03	3.37E-03	3.53E-03
49.0094	1.67E-02	1.10E-02	1.47E-02	2.03E-02	2.27E-02	1.66E-02	1.12E-02	1.37E-02	1.96E-02	1.93E-02	1.71E-02	1.14E-02	1.43E-02	1.98E-02	2.30E-02	2.10E-02	1.97E-02	2.05E-02
50.01472	3.02E-03	1.50E-03	1.60E-03	2.09E-03	2.30E-03	2.75E-03	1.32E-03	1.45E-03	2.00E-03	2.04E-03	2.69E-03	1.34E-03	1.53E-03	2.03E-03	2.31E-03	1.73E-03	1.58E-03	1.72E-03
50.98303	5.88E-05	6.89E-04	7.68E-04	7.57E-04	7.07E-04	8.06E-05	6.92E-04	6.90E-04	7.11E-04	5.85E-04	7.76E-05	7.50E-04	7.25E-04	7.07E-04	7.33E-04	6.51E-04	5.43E-04	5.62E-04
51.02556	4.57E-04	1.34E-03	1.74E-03	2.32E-03	2.58E-03	3.58E-04	1.47E-03	1.67E-03	2.26E-03	2.29E-03	4.07E-04	1.49E-03	1.76E-03	2.35E-03	2.66E-03	1.46E-03	1.49E-03	1.51E-03
51.99572	5.55E-04	5.88E-04	7.44E-04	8.59E-04	9.76E-04	5.74E-04	5.92E-04	6.87E-04	9.06E-04	8.42E-04	5.65E-04	5.92E-04	6.98E-04	8.68E-04	9.50E-04	6.93E-04	6.35E-04	6.25E-04
53.00443	6.71E-04	2.02E-03	3.07E-03	3.91E-03	4.07E-03	6.54E-04	2.38E-03	2.95E-03	3.93E-03	3.89E-03	6.70E-04	2.40E-03	2.90E-03	3.93E-03	4.21E-03	1.02E-02	9.82E-03	9.97E-03
54.01106	4.02E-05	2.19E-04	3.06E-04	3.73E-04	4.09E-04	4.31E-05	2.69E-04	3.00E-04	3.88E-04	3.70E-04	4.47E-05	2.79E-04	3.25E-04	4.00E-04	4.01E-04	6.02E-04	6.10E-04	5.92E-04
55.02067	5.52E-05	5.39E-04	9.89E-04	1.41E-03	1.73E-03	4.15E-05	7.08E-04	9.55E-04	1.50E-03	1.66E-03	4.69E-05	6.41E-04	9.71E-04	1.49E-03	1.76E-03	1.64E-03	1.72E-03	1.68E-03
57.03671	5.02E-06	2.26E-04	2.39E-04	3.00E-04	3.57E-04	5.48E-06	3.04E-04	2.16E-04	3.25E-04	3.52E-04	3.66E-06	2.81E-04	2.83E-04	3.22E-04	3.75E-04	9.78E-05	1.13E-04	1.08E-04
58.00753	7.17E-06	1.09E-03	1.06E-03	9.17E-04	9.14E-04	1.02E-05	1.26E-03	9.26E-04	9.29E-04	8.37E-04	1.39E-05	1.30E-03	1.15E-03	1.03E-03	9.50E-04	3.53E-04	3.60E-04	3.58E-04
58.97279	1.13E-03	1.19E-02	8.46E-03	6.78E-03	5.75E-03	1.23E-03	9.31E-03	8.17E-03	6.69E-03	5.14E-03	1.26E-03	9.57E-03	8.90E-03	7.15E-03	5.97E-03	3.39E-03	2.98E-03	3.04E-03
59.01578	5.18E-05	1.11E-03	1.07E-03	1.18E-03	1.29E-03	4.95E-05	1.28E-03	9.85E-04	1.24E-03	1.16E-03	4.55E-05	1.28E-03	1.17E-03	1.23E-03	1.33E-03	1.96E-03	2.07E-03	2.01E-03
59.98191	3.85E-03	1.03E-03	8.55E-04	7.13E-04	6.70E-04	4.39E-03	9.60E-04	7.26E-04	7.36E-04	5.91E-04	4.11E-03	9.80E-04	9.01E-04	7.85E-04	6.92E-04	4.20E-04	4.02E-04	4.06E-04
60.00166	4.97E-03	1.40E-03	1.82E-03	2.43E-03	2.69E-03	5.15E-03	1.35E-03	1.58E-03	2.31E-03	2.23E-03	4.96E-03	1.35E-03	1.72E-03	2.35E-03	2.73E-03	1.94E-03	1.73E-03	1.83E-03
60.99026	1.95E-03	1.03E-03	1.09E-03	1.17E-03	1.23E-03	1.93E-03	1.11E-03	1.02E-03	1.18E-03	1.03E-03	1.98E-03	1.14E-03	1.13E-03	1.23E-03	1.19E-03	9.51E-04	9.90E-04	9.72E-04
60.9906	2.63E-03	1.14E-03	1.18E-03	1.27E-03	1.33E-03	2.38E-03	1.20E-03	1.27E-03	1.29E-03	1.13E-03	2.62E-03	1.25E-03	1.23E-03	1.33E-03	1.32E-03	1.09E-03	1.12E-03	1.10E-03
61.01037	2.29E-03	1.40E-03	1.99E-03	2.78E-03	3.13E-03	2.29E-03	1.50E-03	1.69E-03	2.74E-03	2.73E-03	2.31E-03	1.52E-03	1.96E-03	2.79E-03	3.23E-03	2.58E-03	2.42E-03	2.51E-03
62.0188	1.18E-03	1.35E-03	1.94E-03	2.80E-03	3.21E-03	1.02E-03	1.45E-03	1.83E-03	2.72E-03	2.79E-03	1.15E-03	1.46E-03	1.89E-03	2.75E-03	3.20E-03	2.77E-03	2.71E-03	2.82E-03
63.02619	3.41E-04	7.57E-04	1.11E-03	1.67E-03	1.92E-03	3.08E-04	8.40E-04	9.72E-04	1.63E-03	1.72E-03	3.64E-04	8.27E-04	1.08E-03	1.72E-03	1.96E-03	1.86E-03	1.91E-03	1.90E-03
63.99579	3.77E-04	4.40E-04	5.24E-04	6.61E-04	7.19E-04	3.79E-04	3.94E-04	4.83E-04	6.60E-04	6.23E-04	3.54E-04	4.05E-04	4.95E-04	6.43E-04	7.26E-04	5.19E-04	4.69E-04	4.89E-04
64.03129	7.54E-05	3.02E-04	3.39E-04	3.99E-04	4.44E-04	7.06E-05	3.28E-04	3.04E-04	3.82E-04	4.12E-04	7.77E-05	3.28E-04	3.30E-04	4.06E-04	4.52E-04	3.57E-04	3.73E-04	3.93E-04
65.00391	1.06E-03	2.77E-03	4.27E-03	6.16E-03	6.96E-03	1.01E-03	3.19E-03	3.94E-03	6.13E-03	6.44E-03	1.02E-03	3.19E-03	4.18E-03	6.14E-03	7.12E-03	1.07E-02	1.08E-02	1.09E-02
