Mass (u)	P1_SQ2	P1_SQ1	P1_SQ3	P1_SQ4	P1_SQ5	P2_SQ2	P2_SQ1	P2_SQ3	P2_SQ4	P2_SQ5	P3_SQ2	P3_SQ1	P3_SQ3	P3_SQ4	P3_SQ5
1.0085	2.24E-01	1.40E-01	2.06E-01	1.80E-01	1.67E-01	2.20E-01	1.34E-01	2.00E-01	1.76E-01	1.47E-01	2.31E-01	1.40E-01	2.13E-01	1.86E-01	1.70E-01
2.0149	2.61E-05	1.79E-05	2.25E-05	2.53E-05	1.49E-05	1.86E-05	1.64E-05	2.29E-05	1.74E-05	1.81E-05	2.85E-05	1.61E-05	2.13E-05	1.82E-05	1.73E-05
3.0259	4.35E-07	0.00E+00	3.69E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.47E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.62E-07	0.00E+00	0.00E+00
4.0145	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.47E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
5.0145	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
6.0144	0.00E+00	0.00E+00	0.00E+00	3.04E-07	2.87E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
7.0143	0.00E+00	7.17E-07	0.00E+00	3.04E-07	0.00E+00	0.00E+00	7.83E-07	0.00E+00	2.95E-07	2.55E-07	3.91E-07	1.46E-06	0.00E+00	3.08E-07	0.00E+00
8.0142	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
9.0142	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
10.014	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.87E-07	7.45E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
