Mass (u)	P1_SQ0	P2_SQ0	P3_SQ0	P1_SQ1	P1_SQ2	P1_SQ3	P1_SQ4	P1_SQ5	P2_SQ1	P2_SQ2	P2_SQ3	P2_SQ4	P2_SQ5	P3_SQ1	P3_SQ2	P3_SQ3	P3_SQ4	P3_SQ5
1.00844	8.29E-02	7.46E-02	7.60E-02	1.36E-01	2.19E-01	2.02E-01	1.76E-01	1.63E-01	1.31E-01	2.16E-01	1.95E-01	1.72E-01	1.43E-01	1.36E-01	2.27E-01	2.10E-01	1.82E-01	1.66E-01
1.0347	3.43E-04	3.15E-04	3.19E-04	4.36E-04	6.35E-04	5.58E-04	4.90E-04	4.19E-04	4.03E-04	5.96E-04	5.39E-04	4.61E-04	3.82E-04	4.72E-04	6.04E-04	5.71E-04	4.94E-04	4.55E-04
12.00048	6.07E-03	5.02E-03	5.17E-03	2.27E-02	1.04E-02	9.84E-03	9.18E-03	8.98E-03	2.41E-02	9.67E-03	9.56E-03	8.90E-03	7.67E-03	2.29E-02	1.03E-02	9.77E-03	9.15E-03	9.15E-03
12.09122	2.53E-05	2.15E-05	2.30E-05	6.96E-05	2.70E-05	3.10E-05	2.98E-05	2.95E-05	8.92E-05	2.50E-05	2.84E-05	3.30E-05	2.40E-05	7.98E-05	3.52E-05	3.36E-05	2.99E-05	2.93E-05
13.00841	1.20E-02	1.06E-02	1.08E-02	2.93E-02	2.77E-02	2.62E-02	2.31E-02	2.20E-02	2.96E-02	2.67E-02	2.50E-02	2.20E-02	1.89E-02	2.95E-02	2.83E-02	2.62E-02	2.34E-02	2.23E-02
13.10274	5.00E-05	4.34E-05	4.40E-05	9.76E-05	7.14E-05	6.64E-05	5.63E-05	6.25E-05	8.22E-05	7.19E-05	7.21E-05	6.28E-05	4.54E-05	7.39E-05	7.82E-05	7.05E-05	5.48E-05	6.24E-05
14.01619	1.61E-03	1.54E-03	1.55E-03	2.04E-03	4.44E-03	4.06E-03	3.35E-03	3.01E-03	1.83E-03	4.47E-03	3.86E-03	3.24E-03	2.63E-03	2.01E-03	4.74E-03	4.23E-03	3.51E-03	3.09E-03
15.02547	3.97E-04	4.02E-04	3.99E-04	3.23E-05	5.14E-04	4.78E-04	4.78E-04	4.64E-04	3.13E-05	5.74E-04	5.14E-04	4.87E-04	4.04E-04	3.29E-05	5.67E-04	5.20E-04	4.71E-04	4.51E-04
15.9955	3.84E-02	3.14E-02	3.28E-02	1.99E-01	9.49E-02	7.41E-02	5.97E-02	5.23E-02	2.06E-01	7.68E-02	7.13E-02	5.78E-02	4.71E-02	2.00E-01	7.99E-02	7.25E-02	6.04E-02	5.38E-02
16.09983	1.26E-04	1.07E-04	9.99E-05	5.20E-04	2.32E-04	1.73E-04	1.47E-04	1.28E-04	4.97E-04	1.92E-04	1.78E-04	1.29E-04	1.14E-04	5.38E-04	1.84E-04	1.82E-04	1.33E-04	1.37E-04
17.00338	2.79E-02	2.39E-02	2.44E-02	8.27E-02	8.18E-02	6.74E-02	5.38E-02	4.72E-02	7.98E-02	7.31E-02	6.61E-02	5.31E-02	4.23E-02	8.23E-02	7.56E-02	6.85E-02	5.57E-02	4.85E-02
17.11108	1.01E-04	9.06E-05	9.38E-05	2.32E-04	2.26E-04	1.70E-04	1.33E-04	1.32E-04	2.13E-04	1.98E-04	1.78E-04	1.39E-04	1.19E-04	2.19E-04	1.83E-04	2.00E-04	1.48E-04	1.27E-04
17.99976	7.25E-05	5.14E-05	6.10E-05	3.49E-04	1.78E-04	1.38E-04	1.15E-04	9.29E-05	3.62E-04	1.47E-04	1.30E-04	1.07E-04	9.29E-05	3.98E-04	1.44E-04	1.30E-04	1.18E-04	8.72E-05
18.00757	1.36E-05	1.36E-05	1.33E-05	5.82E-05	4.75E-05	2.66E-05	2.86E-05	2.35E-05	5.80E-05	3.62E-05	3.23E-05	2.86E-05	2.71E-05	6.16E-05	4.89E-05	3.91E-05	3.02E-05	2.60E-05
18.999	1.13E-03	5.88E-04	1.94E-03	2.99E-02	6.00E-03	3.89E-03	2.83E-03	2.27E-03	3.12E-02	4.86E-03	4.02E-03	2.86E-03	2.07E-03	2.92E-02	5.41E-03	4.23E-03	3.06E-03	2.46E-03
