Mass (u),P1_SQ1,P1_SQ2,P1_SQ3,P1_SQ4,1_SQ5_01),P2_SQ1,P2_SQ2,P2_SQ3,P2_SQ4,P2_SQ5,P3_SQ1,P3_SQ2,3_SQ3,P3_SQ4,P3_SQ5
11.99903,2.54E-04,2.45E-04,2.44E-04,2.90E-04,3.49E-04,2.43E-04,2.50E-04,2.38E-04,2.42E-04,2.81E-04,2.48E-04,2.43E-04,2.49E-04,2.84E-04,3.50E-04
13.00681,3.43E-04,3.32E-04,3.24E-04,3.38E-04,3.50E-04,3.27E-04,3.31E-04,3.02E-04,3.13E-04,3.17E-04,3.38E-04,3.28E-04,3.08E-04,3.06E-04,3.62E-04
14.01478,8.77E-04,8.60E-04,8.45E-04,8.54E-04,8.12E-04,8.29E-04,8.18E-04,8.19E-04,7.91E-04,7.70E-04,8.79E-04,8.46E-04,8.35E-04,8.03E-04,8.27E-04
15.02299,3.38E-03,3.35E-03,3.30E-03,3.27E-03,3.27E-03,3.29E-03,3.26E-03,3.24E-03,3.17E-03,3.14E-03,3.41E-03,3.28E-03,3.32E-03,3.26E-03,3.30E-03
19.01793,6.11E-04,6.21E-04,6.55E-04,6.80E-04,6.59E-04,5.82E-04,6.10E-04,6.47E-04,6.52E-04,6.42E-04,5.88E-04,6.37E-04,6.47E-04,6.57E-04,6.83E-04
26.01477,2.14E-03,2.19E-03,2.16E-03,2.11E-03,2.05E-03,2.07E-03,2.07E-03,2.05E-03,2.04E-03,1.98E-03,2.21E-03,2.10E-03,2.12E-03,2.14E-03,2.15E-03
26.98185,7.82E-02,7.71E-02,7.51E-02,7.31E-02,7.25E-02,7.50E-02,7.60E-02,7.24E-02,7.03E-02,6.92E-02,8.18E-02,7.68E-02,7.60E-02,7.42E-02,7.49E-02
27.02299,2.75E-02,2.82E-02,2.85E-02,2.94E-02,2.86E-02,2.72E-02,2.80E-02,2.85E-02,2.87E-02,2.87E-02,2.83E-02,2.80E-02,2.84E-02,2.84E-02,2.98E-02
27.98805,2.45E-03,2.33E-03,2.23E-03,2.11E-03,1.90E-03,2.31E-03,2.30E-03,2.10E-03,2.00E-03,1.95E-03,2.52E-03,2.30E-03,2.27E-03,2.13E-03,2.10E-03
28.03021,3.52E-03,3.58E-03,3.61E-03,3.69E-03,3.66E-03,3.51E-03,3.58E-03,3.64E-03,3.66E-03,3.66E-03,3.70E-03,3.58E-03,3.62E-03,3.63E-03,3.72E-03
