Mass	P1_SQ1	P1_SQ2	P1_SQ3	P1_SQ4	P1_SQ5	P2_SQ1	P2_SQ2	P2_SQ3	P2_SQ4	P2_SQ5	P3_SQ1	P3_SQ2	P3_SQ3	P3_SQ4	P3_SQ5	P1_SQ0	P2_SQ0	P3_SQ0
1.0072	0.00163	0.00164	0.00161	0.00172	0.00177	0.00163	0.00165	0.00158	0.00157	0.00165	0.00168	0.00166	0.00167	0.00176	0.00193	0.00167	0.00153	0.00135
11.99903	0.000253	0.000244	0.000243	0.000288	0.000347	0.000243	0.00025	0.000237	0.000241	0.00028	0.000246	0.000241	0.000248	0.000283	0.000349	0.000319	0.000285	0.000236
13.00677	0.000342	0.00033	0.000322	0.000336	0.000347	0.000325	0.000328	0.0003	0.000311	0.000316	0.000336	0.000327	0.000306	0.000304	0.000361	0.000395	0.000358	0.000318
14.01464	0.000882	0.000867	0.00085	0.000861	0.000822	0.000831	0.000822	0.000824	0.000795	0.000773	0.000884	0.00085	0.000841	0.000809	0.000833	0.000757	0.000689	0.000639
15.02292	0.00338	0.00335	0.0033	0.00327	0.00327	0.00329	0.00326	0.00324	0.00317	0.00314	0.00341	0.00328	0.00332	0.00326	0.0033	0.00193	0.00184	0.00175
19.01788	0.000613	0.000624	0.000658	0.000687	0.000672	0.000586	0.000611	0.000651	0.000655	0.000644	0.000592	0.000638	0.00065	0.000662	0.000687	0.000226	0.000218	0.000219
26.01471	0.00215	0.00219	0.00217	0.00211	0.00206	0.00208	0.00207	0.00205	0.00204	0.00199	0.00221	0.00211	0.00212	0.00214	0.00215	0.0015	0.00141	0.0013
26.98166	0.0787	0.0777	0.0757	0.0736	0.0731	0.0755	0.0765	0.073	0.0708	0.0697	0.0824	0.0774	0.0765	0.0748	0.0754	0.0808	0.0757	0.0705
27.02306	0.0274	0.0281	0.0285	0.0293	0.0285	0.0271	0.0279	0.0284	0.0286	0.0286	0.0283	0.0279	0.0283	0.0284	0.0297	0.0124	0.0119	0.0116
27.9881	0.00245	0.00233	0.00223	0.00211	0.0019	0.00231	0.00231	0.0021	0.00201	0.00195	0.00253	0.0023	0.00227	0.00213	0.0021	0.00173	0.00156	0.00148
28.03011	0.00349	0.00355	0.00357	0.00365	0.00358	0.00347	0.00354	0.00361	0.00362	0.00362	0.00366	0.00355	0.00358	0.00359	0.00368	0.000963	0.000958	0.000948
29.00228	0.00319	0.00316	0.00325	0.00329	0.00315	0.00303	0.00316	0.00311	0.00307	0.00298	0.00317	0.00312	0.00319	0.00318	0.00326	0.00216	0.00208	0.002
29.03933	0.0341	0.0353	0.0356	0.0363	0.0361	0.0347	0.0352	0.0362	0.037	0.0369	0.0352	0.035	0.0357	0.0357	0.0364	0.00834	0.00859	0.00874
31.01801	0.00319	0.00333	0.00356	0.0037	0.00363	0.00306	0.00323	0.00344	0.0035	0.00348	0.00315	0.00329	0.0035	0.0035	0.00364	0.00172	0.00167	0.00168
37.00666	0.0004	0.000433	0.000398	0.000413	0.000431	0.000377	0.000406	0.000375	0.000379	0.000365	0.000398	0.000393	0.000405	0.000389	0.000426	0.000554	0.000512	0.000477
38.01699	0.00171	0.00175	0.00183	0.00186	0.0019	0.00165	0.00172	0.00176	0.00173	0.00181	0.00176	0.00175	0.00179	0.00182	0.0019	0.00165	0.00155	0.00147
