Rank,m/z,Formula,Loading,Loading_Abs,Variance_Contribution_Percent,Chemical_Family,DBE,H_C_Ratio,Saturation,Aromatic,Dose_Change_Percent,P1_SQ1,P2_SQ1
1,77.03938,C6H5,0.633915214942771,0.633915214942771,40.18484997359394,Aromatic,4.5,0.8333333333333334,Highly_unsaturated,Yes,247.27050699073567,0.32557399717276986,0.09375227398203885
2,41.03987,C3H5,-0.31579936060622893,0.31579936060622893,9.972923615930297,Unsaturated_carbon,1.5,1.6666666666666667,Unsaturated,No,88.75854710466568,0.13012801603468435,0.24562775244319657
3,55.05475,C4H7,-0.3056343749358685,0.3056343749358685,9.3412371142439,Unsaturated_carbon,1.5,1.75,Unsaturated,No,154.2532809193031,0.07244852171132586,0.18420274342857965
4,43.05479,C3H7,-0.276845239998568,0.276845239998568,7.66432869098647,Saturated_carbon,0.5,2.3333333333333335,Unknown,No,116.522386605353,0.08685250606486992,0.18805511895821533
5,29.03933,C2H5,-0.2561847850296281,0.2561847850296281,6.563064408067673,Saturated_carbon,0.5,2.5,Unknown,No,101.28658816746416,0.09249794016022567,0.18618594787370088
6,57.07183,C4H9,-0.20827747617988343,0.20827747617988343,4.337950708386189,Saturated_carbon,0.5,2.25,Unknown,No,154.432445466018,0.049285380417248496,0.1253979986528353
7,27.02306,C2H3,-0.15504969477799654,0.15504969477799654,2.404040785074988,Unsaturated_carbon,1.5,1.5,Unsaturated,No,51.876517477708106,0.10938190151521589,0.16612542277220632
8,69.07075,C5H9,-0.14935097571949107,0.14935097571949107,2.2305713948364003,Unsaturated_carbon,1.5,1.8,Unsaturated,No,179.62659636919943,0.030391556668279956,0.08498287549512772
9,78.0429,C6H6,0.13932697783123127,0.13932697783123127,1.94120067515844,Aromatic,4.0,1.0,Highly_unsaturated,Yes,116.81890596651911,0.09456887082376719,0.04361652430732696
10,55.01834,C3H3O,-0.11942719830573395,0.11942719830573395,1.4262855695157095,Organic_oxygen,2.5,1.0,Unsaturated,No,65.74008555308127,0.06645647016526006,0.11014501050745995
11,75.02402,C6H3,0.11497187605071384,0.11497187605071384,1.32185322826207,Aromatic,5.5,0.5,H-deficient,No,121.35874922963923,0.07667779666711501,0.03463960513599076
12,67.05494,C5H7,-0.10832108385665962,0.10832108385665962,1.173345720788148,Unsaturated_carbon,2.5,1.4,Unsaturated,No,112.34306413122941,0.035260677984051705,0.0748736040647812
13,53.0382,C4H5,-0.09888157227281939,0.09888157227281939,0.9777565335144799,Unsaturated_carbon,2.5,1.25,Unsaturated,No,44.82096298535246,0.08072192318919,0.11690226650288149
14,42.04681,C3H6,-0.09794187566765745,0.09794187566765745,0.9592611009298868,Saturated_carbon,1.0,2.0,Unsaturated,No,114.40508799324776,0.03131004141655849,0.06713032184989455
15,43.01764,C2H3O,-0.0897396135160399,0.0897396135160399,0.8053198234008208,Organic_oxygen,1.5,1.5,Unsaturated,No,36.5280130191506,0.0899038477114759,0.12274393690824115
16,56.05952,C4H8,-0.08566630444505272,0.08566630444505272,0.7338715717272455,Saturated_carbon,1.0,2.0,Unsaturated,No,171.44576309160192,0.018265182610286482,0.04958006431656672
17,71.08882,C5H11,-0.08178097223138511,0.08178097223138511,0.6688127419110581,Saturated_carbon,0.5,2.2,Unknown,No,186.81590335070373,0.01599645792630237,0.04588038530543939
18,77.00371,C5HO,0.07915164395331967,0.07915164395331967,0.6264982740513083,Organic_oxygen,5.5,0.2,H-deficient,No,61.130260914142596,0.07630925496433041,0.047358736050822504
19,28.03011,C2H4,-0.0780919884278178,0.0780919884278178,0.6098358656610425,Saturated_carbon,1.0,2.0,Unsaturated,No,92.38360734126478,0.03092447500537714,0.05949362056669233
20,76.02955,C6H4,0.07698292797539019,0.07698292797539019,0.5926371199664111,Aromatic,5.0,0.6666666666666666,H-deficient,No,104.80057815439936,0.055015132737439805,0.02686278194779501
