Mass (u)	P1_SQ0	P2_SQ0	P3_SQ0	P1_SQ1	P3_SQ1	P2_SQ1	P1_SQ2	P2_SQ2	P3_SQ2	P1_SQ3	P2_SQ3	P3_SQ3	P1_SQ4	P2_SQ4	P3_SQ4	P1_SQ5	P2_SQ5	P3_SQ5
1.00708	1.68E-03	1.54E-03	1.36E-03	6.52E-03	8.04E-03	6.88E-03	3.11E-03	3.11E-03	3.30E-03	2.76E-03	3.09E-03	3.19E-03	2.56E-03	2.54E-03	2.63E-03	2.42E-03	2.21E-03	2.77E-03
2.01487	1.00E-04	1.03E-04	8.23E-05	2.95E-04	3.36E-04	2.83E-04	2.50E-04	2.54E-04	2.69E-04	2.23E-04	2.70E-04	2.69E-04	2.15E-04	2.03E-04	2.36E-04	1.98E-04	1.66E-04	2.30E-04
3.02251	2.95E-05	2.72E-05	2.50E-05	6.47E-05	8.32E-05	5.67E-05	8.59E-05	9.24E-05	8.51E-05	8.58E-05	8.35E-05	8.84E-05	7.42E-05	8.65E-05	8.27E-05	7.71E-05	6.42E-05	8.01E-05
11.9981	3.16E-04	2.82E-04	2.34E-04	1.27E-03	1.71E-03	1.22E-03	4.01E-04	4.26E-04	4.11E-04	3.62E-04	4.22E-04	4.05E-04	3.60E-04	3.67E-04	3.61E-04	3.55E-04	3.20E-04	4.10E-04
13.00592	3.91E-04	3.51E-04	3.14E-04	1.14E-03	1.51E-03	1.27E-03	7.13E-04	7.13E-04	7.40E-04	6.30E-04	7.05E-04	7.12E-04	6.01E-04	6.00E-04	5.91E-04	5.93E-04	5.15E-04	6.44E-04
14.01404	7.50E-04	6.82E-04	6.35E-04	2.28E-03	2.43E-03	2.28E-03	1.67E-03	1.67E-03	1.74E-03	1.53E-03	1.66E-03	1.66E-03	1.33E-03	1.34E-03	1.38E-03	1.27E-03	1.14E-03	1.43E-03
15.02268	1.92E-03	1.84E-03	1.75E-03	4.20E-03	3.83E-03	3.78E-03	5.03E-03	5.07E-03	5.18E-03	4.73E-03	4.95E-03	4.91E-03	4.40E-03	4.48E-03	4.50E-03	4.21E-03	3.77E-03	4.21E-03
18.0347	2.41E-05	1.70E-05	1.30E-05	3.84E-05	5.16E-05	3.78E-05	2.04E-04	9.99E-05	7.74E-05	2.05E-04	1.52E-04	1.22E-04	2.04E-04	2.04E-04	1.60E-04	2.16E-04	4.51E-04	1.88E-04
19.01811	2.28E-04	2.19E-04	2.20E-04	1.70E-04	2.07E-04	1.48E-04	1.23E-03	1.23E-03	1.19E-03	1.24E-03	1.24E-03	1.26E-03	1.18E-03	1.23E-03	1.20E-03	1.09E-03	1.03E-03	1.09E-03
22.99073	9.76E-04	1.03E-03	7.48E-04	1.92E-03	7.72E-04	1.34E-03	1.55E-02	8.94E-05	1.65E-04	4.61E-04	2.93E-04	3.41E-04	1.10E-03	8.42E-04	5.83E-04	1.18E-03	2.19E-02	1.33E-03
25.00553	1.58E-04	1.41E-04	1.30E-04	8.06E-04	1.00E-03	8.40E-04	2.15E-04	2.11E-04	2.02E-04	1.83E-04	2.01E-04	1.83E-04	1.71E-04	1.77E-04	1.80E-04	1.72E-04	1.71E-04	2.02E-04
26.01423	1.49E-03	1.40E-03	1.30E-03	6.13E-03	6.85E-03	6.15E-03	3.91E-03	3.79E-03	3.95E-03	3.67E-03	3.79E-03	3.82E-03	3.31E-03	3.32E-03	3.41E-03	3.20E-03	2.75E-03	3.40E-03
26.98064	8.02E-02	7.52E-02	6.98E-02	3.18E-02	3.99E-02	3.36E-02	1.36E-01	1.28E-01	1.31E-01	1.11E-01	1.22E-01	1.24E-01	9.63E-02	9.58E-02	9.92E-02	8.38E-02	6.96E-02	9.15E-02
27.0229	1.22E-02	1.18E-02	1.14E-02	2.49E-02	2.21E-02	2.30E-02	2.98E-02	3.08E-02	3.09E-02	3.17E-02	3.05E-02	3.02E-02	3.28E-02	3.21E-02	3.24E-02	3.23E-02	2.77E-02	3.20E-02
27.1159	2.03E-03	1.94E-03	1.75E-03	2.85E-04	3.24E-04	2.94E-04	1.41E-03	1.35E-03	1.35E-03	1.41E-03	1.34E-03	1.48E-03	1.15E-03	1.21E-03	1.23E-03	1.09E-03	9.02E-04	1.16E-03
27.15849	1.88E-04	1.78E-04	1.85E-04	1.22E-04	1.75E-04	1.40E-04	3.23E-04	2.81E-04	3.21E-04	2.66E-04	2.82E-04	2.88E-04	2.17E-04	2.18E-04	2.43E-04	1.94E-04	1.64E-04	2.22E-04
27.9756	2.78E-03	2.71E-03	2.51E-03	2.24E-02	2.82E-02	2.16E-02	2.05E-03	2.27E-03	2.41E-03	1.33E-03	1.38E-03	1.08E-03	4.01E-04	4.39E-04	4.59E-04	2.66E-04	2.94E-04	3.16E-04
27.98674	1.58E-03	1.46E-03	1.38E-03	1.70E-03	2.16E-03	1.77E-03	5.47E-03	5.53E-03	5.67E-03	4.45E-03	4.84E-03	4.93E-03	3.20E-03	3.17E-03	3.36E-03	2.52E-03	2.17E-03	2.68E-03
28.01899	1.62E-04	1.32E-04	1.03E-04	9.14E-04	7.02E-04	7.98E-04	5.27E-04	3.41E-04	2.92E-04	4.03E-04	3.73E-04	3.37E-04	3.82E-04	3.91E-04	3.55E-04	4.43E-04	4.98E-04	3.98E-04
28.03043	9.65E-04	9.60E-04	9.51E-04	2.22E-03	1.84E-03	1.88E-03	6.25E-03	6.11E-03	6.02E-03	5.96E-03	5.91E-03	5.99E-03	5.49E-03	5.26E-03	5.36E-03	5.06E-03	4.32E-03	4.93E-03
28.97448	1.14E-04	1.04E-04	9.47E-05	8.73E-04	9.39E-04	7.96E-04	7.50E-05	9.04E-05	9.55E-05	5.73E-05	5.94E-05	3.93E-05	1.34E-05	1.96E-05	2.21E-05	9.94E-06	1.20E-05	1.41E-05
28.98403	1.60E-03	1.57E-03	1.46E-03	5.39E-03	6.21E-03	5.11E-03	1.01E-03	1.05E-03	1.09E-03	7.21E-04	7.09E-04	5.94E-04	2.67E-04	2.98E-04	3.05E-04	2.05E-04	1.90E-04	2.16E-04
29.00043	2.48E-03	2.38E-03	2.30E-03	4.29E-03	4.49E-03	4.19E-03	5.98E-03	5.96E-03	5.83E-03	6.31E-03	6.49E-03	6.13E-03	6.67E-03	6.73E-03	6.59E-03	6.75E-03	6.15E-03	7.05E-03
